store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
1385,2016,442868,291,Main shopping street,08/04/1998,7604,1,0,0,2,0,23,3,5,33,2,0,0.25062448,
1413,2016,351878,203,Pedestrian zone,11/05/1998,25732,0,0,1,12,4,149,13,74,274,6,2,0.110303659,9.950738916
1343,2016,227376,186,Outskirts / residential,11/05/1998,6372,2,0,4,3,1,30,5,9,16,2,0,0.177332305,6.720430108
1412,2016,220684,228,Shopping center,11/05/1998,48864,0,0,6,21,9,478,21,121,429,0,0,0.096254813,
1409,2016,248463,212,Specialist retail center,28/05/1998,15756,0,0,1,3,1,40,7,21,77,3,1,0.297472075,9.198113208
1420,2016,285625,248,Main shopping street,02/06/1998,9153,1,0,0,6,1,51,4,22,46,3,0,0.239612188,8.669354839
1410,2016,313035,252,Main shopping street,06/07/1998,10722,1,0,0,2,0,49,6,11,76,2,0,0.136254502,5.773809524
1415,2016,240431,175,Pedestrian zone,13/07/1998,10996,2,0,0,5,1,66,5,18,98,3,0,0.116022099,11.14285714
1422,2016,291131,350,Main shopping street,16/07/1998,94945,0,3,6,52,22,437,38,241,255,5,3,0.252184769,5.714285714
1417,2016,335709,342,Pedestrian zone,27/07/1998,33998,0,0,1,10,3,178,8,50,97,8,1,0.083119841,9.280701754
1424,2016,183850,299,Main shopping street,03/08/1998,8739,0,0,0,4,2,27,3,12,52,2,0,0.242245199,
1426,2016,360223,426,Pedestrian zone,27/08/1998,23625,0,0,0,10,2,128,11,49,126,8,2,0.224418605,7.981220657
1421,2016,259553,210,Main shopping street,12/09/1998,67808,0,2,2,9,2,92,21,66,227,1,0,0.162955108,5.666666667
1416,2016,301501,255,Shopping center,17/09/1998,16187,2,0,0,7,0,95,5,34,281,4,0,0.126099707,
1431,2016,271251,220,Specialist retail center,02/10/1998,5291,0,0,0,3,0,40,4,17,63,0,0,0.283497884,4.659090909
1432,2016,340396,270,Main shopping street,15/10/1998,5740,2,0,0,5,2,37,2,11,29,5,2,0.179161372,6.296296296
1433,2016,550293,328,Main shopping street,02/11/1998,8851,0,0,0,3,1,53,6,15,88,3,1,0.24704142,7.62195122
1428,2016,392113,288,Main shopping street,02/11/1998,6485,0,0,0,5,0,31,12,13,28,4,0,0.114572864,6.486111111
1436,2016,483957,315,Main shopping street,03/11/1998,20648,0,0,0,3,0,37,4,28,57,2,0,0.203679369,3.619047619
1440,2016,500916,365,Outskirts / residential,12/11/1998,90883,0,0,0,49,27,421,42,174,475,18,6,0.107059374,10
1429,2016,395857,337,Specialist retail center,16/11/1998,8816,3,0,2,4,2,52,7,24,64,2,2,0.111392405,5.681869436
1443,2016,238047,233,Main shopping street,16/11/1998,108089,2,0,1,13,2,195,22,102,323,3,1,0.091718611,6.43776824
1446,2016,341654,266,Main shopping street,19/11/1998,23849,2,0,1,12,1,220,11,77,205,3,0,0.172839506,8.030075188
1441,2016,444041,268,Main shopping street,03/12/1998,9802,2,0,0,5,3,100,7,35,122,4,2,0.094639312,10.43097015
1442,2016,416635,187,Outskirts / residential,17/12/1998,11042,0,0,0,4,1,16,1,14,43,2,1,0.292647059,8.815508021
1438,2016,273648,300,Pedestrian zone,14/01/1999,18836,3,0,1,8,3,107,7,51,71,5,2,0.144836835,8
1445,2016,328554,235,Pedestrian zone,11/02/1999,23893,1,0,1,8,2,125,9,42,100,5,0,0.202196382,6.382978723
926,2016,324281,249,Outskirts / residential,04/03/1999,14839,0,0,0,3,1,79,10,21,87,2,0,0.134440279,6.827309237
1448,2016,282963,338,Main shopping street,11/03/1999,16519,3,0,0,7,4,54,7,26,98,6,3,0.221594121,5.621301775
1449,2016,285600,263,Shopping center,30/03/1999,36541,0,0,1,2,1,39,6,24,55,1,0,0.072783188,5.893536122
1456,2016,262958,280,Main shopping street,07/04/1999,7854,0,0,1,2,0,39,4,17,54,2,0,0.198259188,4
1451,2016,482922,255,Pedestrian zone,10/05/1999,39650,0,0,0,24,9,300,22,96,407,4,2,0.096969697,13.92156863
1466,2016,451302,400,Main shopping street,28/05/1999,18639,0,0,2,4,1,94,6,45,132,3,0,0.214360042,8
1471,2016,411154,330,Pedestrian zone,04/06/1999,14008,2,0,0,11,2,71,9,38,110,6,0,0.240939255,9.393939394
1472,2016,239766,285,Pedestrian zone,24/06/1999,24342,2,2,3,7,3,90,5,17,183,2,0,0.311776062,4.631578947
1476,2016,246385,356,Outskirts / residential,08/07/1999,13954,0,0,2,5,0,62,6,29,84,3,0,0.196679438,6.179775281
1477,2016,293428,216,Pedestrian zone,19/07/1999,16567,2,0,0,7,3,89,8,30,56,5,2,0.214876033,11.34259259
1479,2016,230225,285,Main shopping street,16/08/1999,9810,0,3,3,4,0,39,6,19,48,4,0,0.373171962,5.140350877
1488,2016,324141,353,Main shopping street,23/08/1999,25814,2,0,0,16,4,186,16,73,255,6,2,0.176162791,7.648725212
1480,2016,395804,380,Main shopping street,26/08/1999,5322,0,0,1,2,0,30,4,12,31,2,0,0.173044925,5.015131579
1485,2016,365703,376,Outskirts / residential,30/08/1999,39737,1,0,1,12,3,100,9,125,145,5,0,0.179098188,7.04787234
1487,2016,331068,369,Pedestrian zone,30/08/1999,14081,1,0,0,6,2,75,9,26,68,3,0,0.152664426,8.401084011
1486,2016,301169,300,Main shopping street,30/08/1999,7594,0,0,0,3,0,36,6,16,55,0,0,0.123408423,7.166666667
1489,2016,287892,314,Pedestrian zone,30/08/1999,26538,0,0,0,5,1,69,12,32,122,3,0,0.106408346,7.143312102
1478,2016,470928,300,Pedestrian zone,13/09/1999,16519,1,0,1,10,5,110,6,43,149,7,4,0.239954076,5.603333333
1481,2016,423054,286,Specialist retail center,13/09/1999,20926,0,0,0,9,0,76,6,43,151,0,0,0.183506686,10.48951049
1484,2016,516345,334,Main shopping street,24/09/1999,9181,2,0,0,4,0,70,8,37,72,4,0,0.150266972,8.649700599
1494,2016,294650,350,Main shopping street,30/09/1999,24130,0,0,0,6,1,125,10,43,93,3,0,0.161953728,3.571428571
1493,2016,383526,328,Specialist retail center,01/10/1999,7438,0,0,0,6,3,47,8,17,71,1,0,0.15007215,8.75
1460,2016,272911,323,Main shopping street,11/10/1999,21895,0,0,0,9,2,100,11,28,59,6,2,0.108811189,6.269349845
1500,2016,287268,310,Main shopping street,14/10/1999,39781,0,0,0,11,4,182,10,47,340,2,0,0.299365303,7.141935484
1497,2016,443720,364,Pedestrian zone,26/10/1999,17514,0,0,2,4,0,38,10,14,111,3,0,0.099449686,6.527472527
1502,2016,226513,275,Main shopping street,11/11/1999,7965,0,0,0,3,0,21,4,10,31,3,0,0.224880383,5.167272727
1498,2016,330087,290,Main shopping street,22/11/1999,8513,0,0,0,3,0,58,6,23,105,3,0,0.113119534,7.310344828
1509,2016,496143,395,Main shopping street,25/11/1999,15144,0,0,1,4,0,83,4,34,55,4,0,0.189085687,6.329113924
1499,2016,255044,217,Pedestrian zone,25/11/1999,36626,0,0,0,7,0,84,11,32,144,3,0,0.089810581,7.188940092
1514,2016,471072,358,Specialist retail center,02/12/1999,32175,0,0,0,9,2,137,12,40,195,0,0,0.089632829,
1516,2016,324203,205,Main shopping street,21/12/1999,2146,2,0,2,3,1,36,2,62,60,2,0,0.428571429,4.390243902
1513,2016,335704,300,Outskirts / residential,17/01/2000,19473,0,2,4,7,2,232,9,60,197,6,2,0.245469522,9.666666667
1529,2016,377361,419,Main shopping street,01/02/2000,23496,2,1,1,13,3,97,11,38,73,7,1,0.177749361,8.114558473
1531,2016,388466,302,Main shopping street,02/02/2000,9674,1,0,2,5,1,33,6,26,61,3,0,0.196981732,8.493377483
1527,2016,329928,425,Pedestrian zone,02/02/2000,57116,0,0,0,17,5,186,13,82,95,9,3,0.25676306,
1528,2016,438751,400,Main shopping street,03/02/2000,18866,0,0,2,6,1,90,8,29,69,3,0,0.227990971,6.095
1530,2016,305177,283,Main shopping street,03/02/2000,16304,2,0,1,5,0,78,10,28,89,3,0,0.190444592,8.392226148
1518,2016,291389,306,Pedestrian zone,03/02/2000,25831,2,0,1,9,2,86,7,54,120,5,0,0.246273107,7.843137255
1520,2016,319384,385,Main shopping street,04/02/2000,6347,2,0,0,1,0,14,4,4,22,1,0,0.173994387,3.376623377
1512,2016,251262,350,Main shopping street,13/03/2000,33535,1,0,2,15,3,171,14,69,128,3,0,0.294387171,
1533,2016,485526,337,Main shopping street,16/03/2000,11688,0,0,0,3,0,40,8,15,54,3,0,0.292870906,6.854599407
1535,2016,447092,322,Main shopping street,27/03/2000,57699,1,0,4,15,5,214,10,75,213,4,2,0.252336449,9.00621118
1559,2016,436253,347,Main shopping street,06/04/2000,12259,0,0,0,4,0,83,7,20,75,2,0,0.229901961,8.962536023
1537,2016,389974,294,Main shopping street,06/04/2000,33385,0,0,0,8,1,90,11,75,188,3,0,0.137779728,5.173469388
1550,2016,426114,460,Main shopping street,13/04/2000,13167,0,3,3,8,2,76,6,33,62,2,0,0.200105319,4.890608696
1553,2016,322713,294,Main shopping street,11/05/2000,12645,0,0,0,7,4,135,6,44,122,6,3,0.173013634,6.589285714
1551,2016,418589,414,Main shopping street,15/05/2000,213173,2,0,0,18,2,147,22,81,219,4,0,0.224402565,8.695652174
1538,2016,326996,214,Main shopping street,15/05/2000,48629,2,0,4,8,1,52,6,28,86,3,0,0.280483054,11.47878505
1563,2016,395445,290,Pedestrian zone,25/05/2000,13143,1,0,2,14,1,107,8,49,149,6,1,0.241025641,9.310344828
1571,2016,270732,359,Shopping center,02/06/2000,19106,2,0,0,7,4,27,3,25,77,4,2,0.131081855,6.459610028
1561,2016,352284,382,Main shopping street,15/06/2000,46594,0,1,2,15,1,306,24,109,198,2,0,0.171344887,4.123036649
1574,2016,272814,252,Main shopping street,19/06/2000,30451,0,0,3,7,2,162,6,24,73,2,0,0.358389913,
1577,2016,185412,215,Outskirts / residential,10/07/2000,8133,0,1,1,3,1,21,3,13,28,3,1,0.254487856,
1580,2016,413787,310,Pedestrian zone,17/07/2000,71243,0,2,2,19,6,169,10,89,185,6,3,0.284770036,11.03225806
1552,2016,290847,350,Specialist retail center,24/07/2000,30757,0,0,0,13,7,74,6,17,130,1,1,0.239789196,6.285714286
1586,2016,270082,276,Specialist retail center,11/08/2000,4745,0,0,0,2,0,35,3,23,25,0,0,0.176056338,6.449275362
1572,2016,224340,270,Specialist retail center,14/08/2000,10363,0,0,0,5,1,46,7,15,44,0,0,0.298617512,3.703703704
1562,2016,252924,240,Specialist retail center,17/08/2000,5691,0,0,0,1,0,17,5,9,27,0,0,0.144827586,4.791666667
1597,2016,255391,433,Pedestrian zone,31/08/2000,11143,2,0,0,2,0,34,4,18,77,2,0,0.173255814,5.334872979
1587,2016,414554,255,Specialist retail center,11/09/2000,18171,2,0,3,8,2,93,13,34,157,1,0,0.13585985,10.07372549
1599,2016,345944,308,Main shopping street,25/09/2000,194774,0,0,0,35,8,386,21,176,366,7,1,0.249841169,12.76087662
1604,2016,502726,530,Pedestrian zone,06/10/2000,12018,0,0,0,4,1,83,6,24,54,4,1,0.204717776,5.394339623
1610,2016,328382,245,Pedestrian zone,01/11/2000,22719,0,0,2,5,0,70,11,20,181,4,0,0.094560405,11.478
1608,2016,288891,291,Specialist retail center,09/11/2000,15357,0,0,0,6,0,93,9,30,56,0,0,0.277263374,5.704467354
1607,2016,309815,260,Outskirts / residential,13/11/2000,39511,1,0,0,19,3,158,21,96,176,12,0,0.101201068,9.861538462
1595,2016,292471,332,Outskirts / residential,13/11/2000,7033,0,4,4,2,0,58,8,20,51,2,0,0.233940556,6.927710843
1576,2016,290923,350,Outskirts / residential,13/11/2000,5860,0,0,0,5,3,86,5,18,60,4,2,0.219380888,6
1592,2016,361358,262,Specialist retail center,21/11/2000,8607,0,0,0,3,0,30,4,22,129,0,0,0.243654822,9.351145038
1601,2016,374987,300,Main shopping street,24/11/2000,12243,0,0,0,3,0,24,5,30,97,3,0,0.276461295,7.596666667
1615,2016,540102,278,Shopping center,27/11/2000,11942,2,0,1,7,3,76,10,38,66,3,2,0.163157895,7.463848921
1614,2016,312417,483,Main shopping street,27/11/2000,8967,0,0,0,3,1,48,5,20,20,2,0,0.190571715,5.405797101
1583,2016,553242,245,Main shopping street,30/11/2000,43253,2,3,3,17,8,117,11,117,147,7,4,0.170987654,11.83673469
1613,2016,444853,328,Pedestrian zone,30/11/2000,12885,0,0,0,7,3,82,10,39,103,6,2,0.406458797,10.42682927
1616,2016,325396,330,Main shopping street,02/12/2000,10812,2,0,0,4,0,85,7,40,119,4,0,0.169530355,5.757575758
1618,2016,525733,269,Shopping center,11/12/2000,19276,0,0,0,4,0,71,9,21,70,0,0,0.159281437,9.607434944
1622,2016,229810,289,Outskirts / residential,15/01/2001,17930,0,0,0,4,0,44,10,27,83,1,0,0.364645997,6.332179931
1624,2016,343544,258,Main shopping street,17/01/2001,8240,0,0,2,5,2,100,2,39,132,4,2,0.165625,5.255813953
1625,2016,366215,268,Specialist retail center,29/01/2001,8910,2,0,0,4,1,71,5,20,95,2,0,0.112291351,7.649253731
1584,2016,230594,270,Specialist retail center,29/01/2001,5759,0,0,0,2,0,24,4,7,33,0,0,0.207877462,4.62962963
1632,2016,349991,359,Main shopping street,01/03/2001,6583,0,0,0,7,2,37,3,16,20,7,2,0.210779596,8.913649025
1626,2016,499359,374,Outskirts / residential,05/03/2001,10392,2,0,5,2,0,53,6,24,63,2,0,0.180067002,10.48663102
1620,2016,397171,350,Main shopping street,05/03/2001,22212,1,0,0,9,3,128,7,56,126,4,0,0.240575204,10.6006
1633,2016,339536,354,Specialist retail center,05/03/2001,7897,0,0,0,9,5,107,7,27,72,1,1,0.137026239,6.214689266
1627,2016,228862,304,Main shopping street,05/03/2001,6651,0,0,0,2,0,70,3,20,19,2,0,0.247126437,2.796052632
1628,2016,238310,270,Outskirts / residential,12/03/2001,14605,1,0,0,5,1,31,6,27,43,2,0,0.261158594,4.444444444
1631,2016,673531,393,Pedestrian zone,10/04/2001,10503,0,0,0,2,0,37,7,13,61,2,0,0.187594554,12.07633588
1630,2016,245772,282,Shopping center,10/04/2001,38982,0,0,0,13,3,70,7,36,140,1,1,0.242725337,3.900460993
1629,2016,293975,332,Outskirts / residential,25/04/2001,15035,0,0,0,7,1,74,7,33,54,4,0,0.27758216,6.529759036
1641,2016,284063,315,Main shopping street,25/05/2001,55508,2,0,0,13,4,86,9,46,243,3,0,0.314862385,6.031746032
1642,2016,354641,301,Specialist retail center,18/06/2001,4959,0,0,0,3,0,29,6,11,35,0,0,0.190713101,7.134318937
1636,2016,403100,301,Shopping center,28/06/2001,21717,0,0,0,9,5,57,8,37,75,6,3,0.153465347,10.19186047
1643,2016,357021,375,Main shopping street,28/06/2001,18076,4,0,0,6,2,112,7,33,83,4,1,0.159668835,10.53333333
1644,2016,415425,210,Main shopping street,02/07/2001,10047,0,0,0,2,0,97,6,28,191,2,0,0.137655417,6.904761905
1647,2016,339619,323,Specialist retail center,23/08/2001,13244,1,0,0,4,2,95,5,35,82,4,2,0.289532294,8.526780186
1648,2016,454179,322,Main shopping street,12/09/2001,23719,0,0,0,7,4,82,8,45,90,4,1,0.279320484,10.63869565
1649,2016,357695,448,Main shopping street,13/09/2001,10881,0,0,2,8,3,75,6,27,70,5,1,0.185821697,6.473214286
1634,2016,288599,292,Main shopping street,18/09/2001,11796,2,0,0,5,1,80,9,16,36,4,1,0.109787675,6.506849315
1650,2016,377230,296,Specialist retail center,05/10/2001,7447,0,0,0,8,2,77,9,29,93,3,0,0.180212014,7.77027027
1652,2016,464073,300,Specialist retail center,11/10/2001,8268,0,0,0,4,2,23,7,13,26,2,2,0.307888041,7.6325
1653,2016,281901,272,Pedestrian zone,25/10/2001,12815,2,0,0,6,0,68,7,32,62,4,0,0.226492793,7.941176471
1655,2016,362851,322,Specialist retail center,29/10/2001,14427,1,0,0,5,1,102,6,41,119,3,1,0.238888889,7.736024845
1657,2016,341146,341,Specialist retail center,08/11/2001,18118,0,0,0,2,0,33,8,20,92,2,0,0.09569378,5.600879765
1660,2016,221745,312,Main shopping street,14/11/2001,38593,0,2,5,7,0,42,9,24,86,2,0,0.18908046,2.451923077
1658,2016,330050,312,Main shopping street,22/11/2001,18556,2,0,0,6,0,100,5,33,71,5,0,0.274840645,8.192307692
1661,2016,314421,342,Main shopping street,26/11/2001,18025,0,0,0,7,1,46,5,23,40,2,0,0.280567041,6.725146199
1645,2016,434212,295,Shopping center,28/11/2001,31591,2,0,0,10,2,82,10,40,114,1,0,0.257052046,11.06779661
1665,2016,515999,378,Pedestrian zone,10/12/2001,60140,5,0,1,34,17,317,21,98,276,9,4,0.181818182,7.407407407
1659,2016,160610,301,Specialist retail center,15/12/2001,10912,0,0,0,4,0,24,6,12,21,2,0,0.187871581,
1663,2016,364346,279,Pedestrian zone,17/12/2001,20951,3,0,2,10,2,92,8,29,193,6,1,0.078562969,5.734767025
1664,2016,347134,395,Pedestrian zone,04/03/2002,11638,0,0,0,10,1,96,9,24,65,8,0,0.141345747,6.329113924
1666,2016,489290,290,Main shopping street,10/04/2002,10474,0,0,0,5,2,60,5,55,80,3,1,0.192919075,7.194827586
1668,2016,304174,495,Pedestrian zone,13/05/2002,20852,0,0,0,14,5,217,10,74,136,6,2,0.259536275,3.557575758
1667,2016,440598,439,Pedestrian zone,16/05/2002,28881,0,0,0,12,4,179,13,57,82,0,0,0.100967826,4.555808656
1669,2016,334666,368,Pedestrian zone,16/05/2002,21068,2,0,0,8,3,98,12,46,185,7,2,0.118747614,5.434782609
1670,2016,284239,271,Main shopping street,27/05/2002,35586,0,0,0,11,2,192,10,65,427,5,1,0.269241083,7.195571956
1675,2016,504473,302,Pedestrian zone,30/05/2002,15887,0,0,1,4,2,97,8,39,88,3,1,0.107714017,5.670529801
1672,2016,631354,290,Outskirts / residential,03/06/2002,20439,0,0,0,15,5,281,12,103,374,8,3,0.13121345,12.75862069
1671,2016,249186,287,Pedestrian zone,13/06/2002,11564,0,0,1,3,1,99,6,31,45,2,0,0.115822536,6.968641115
1674,2016,343732,381,Pedestrian zone,27/06/2002,11886,3,0,0,3,0,34,6,17,67,3,0,0.228963938,4.330708661
1681,2016,300385,335,Main shopping street,22/08/2002,9243,0,0,0,7,1,32,4,16,36,3,1,0.249106079,7.27761194
1679,2016,385842,295,Specialist retail center,09/09/2002,24689,2,0,0,12,3,60,7,23,56,3,1,0.300527241,9.152542373
1677,2016,310541,335,Main shopping street,11/09/2002,7806,0,0,0,3,0,20,4,19,28,3,0,0.150943396,5.970149254
1678,2016,296178,297,Main shopping street,11/09/2002,31558,3,0,0,14,3,107,13,75,393,7,2,0.219167621,
1682,2016,409204,252,Main shopping street,19/09/2002,22821,2,0,0,14,4,221,15,80,114,5,0,0.209662141,13.28571429
1680,2016,274738,238,Pedestrian zone,17/10/2002,14410,1,0,0,6,2,99,5,37,160,6,2,0.191893057,10.50420168
1683,2016,876837,300,Specialist retail center,30/10/2002,16430,0,0,3,7,1,52,7,33,144,1,0,0.16722408,11.66
1684,2016,328160,287,Main shopping street,13/11/2002,7158,0,0,0,2,0,64,5,28,46,2,0,0.169510808,5.400696864
1685,2016,292626,254,Main shopping street,14/11/2002,20979,0,0,0,8,2,82,7,35,78,4,2,0.253874202,12.8484252
1687,2016,212225,312,Main shopping street,26/11/2002,8144,0,0,0,3,1,31,5,13,57,3,1,0.243093923,5.608974359
1686,2016,588200,298,Specialist retail center,27/11/2002,17576,0,0,0,4,0,87,7,21,65,3,0,0.236250598,8.197986577
1690,2016,326128,380,Specialist retail center,16/12/2002,83654,0,0,0,49,18,678,37,220,366,1,1,0.302074689,8.157894737
1689,2016,262731,292,Main shopping street,16/12/2002,11486,0,0,0,4,1,20,5,18,41,2,0,0.198419666,5.821917808
1688,2016,364077,304,Pedestrian zone,15/01/2003,28995,0,0,0,15,8,271,15,80,445,10,4,0.088139282,10.19736842
1691,2016,410994,255,Main shopping street,27/01/2003,56510,0,0,0,22,7,213,16,92,150,0,0,0.2610423,19.02352941
1694,2016,318833,316,Specialist retail center,06/03/2003,11538,0,0,0,3,1,61,7,22,54,0,0,0.099378882,4.905063291
1693,2016,214992,256,Shopping center,06/03/2003,13244,0,1,2,6,3,104,7,23,104,3,0,0.1278826,
1695,2016,312173,352,Pedestrian zone,12/03/2003,27864,0,2,2,5,1,123,6,41,123,3,0,0.10929368,3.838068182
1699,2016,524667,336,Specialist retail center,13/03/2003,13307,0,0,0,4,0,28,3,16,29,2,0,0.140669856,6.023809524
1696,2016,268927,246,Main shopping street,17/03/2003,11447,2,0,0,3,0,33,7,20,50,2,0,0.246445498,4.345528455
1698,2016,419129,395,Main shopping street,26/03/2003,46904,2,0,3,7,1,74,10,41,94,3,0,0.242128603,8.587341772
1700,2016,280328,288,Main shopping street,10/04/2003,11322,0,0,0,4,1,128,11,50,83,3,0,0.138320775,10.57638889
1702,2016,223362,278,Main shopping street,28/04/2003,42071,0,0,0,7,2,140,12,51,1293,2,0,0.257024413,4.676258993
1703,2016,297605,315,Main shopping street,11/06/2003,11959,2,0,0,3,0,46,5,34,88,2,0,0.170238095,8.412698413
1705,2016,269114,252,Main shopping street,12/06/2003,72231,0,0,1,9,0,113,16,82,195,2,0,0.157760814,5.317460317
1706,2016,252257,288,Shopping center,28/06/2003,10682,0,0,0,1,0,15,5,8,143,1,0,0.106024096,
1708,2016,297497,321,Specialist retail center,01/07/2003,14164,0,0,0,2,0,19,3,7,37,1,0,0.142208775,3.294392523
1707,2016,363564,177,Specialist retail center,03/07/2003,8308,0,0,0,3,1,25,4,25,51,2,0,0.136522754,12.24711864
1712,2016,215982,302,Main shopping street,28/08/2003,92320,0,0,0,16,3,422,19,143,256,2,0,0.257914847,
1716,2016,481791,612,Pedestrian zone,09/09/2003,19082,0,0,0,10,6,124,10,42,105,8,5,0.104086845,4.248366013
1713,2016,328770,254,Main shopping street,09/09/2003,8603,0,0,2,4,0,57,7,20,32,3,0,0.216361679,7.874015748
1715,2016,522975,350,Main shopping street,24/09/2003,57384,0,1,4,22,6,168,20,120,198,3,0,0.232284956,4.285714286
1717,2016,382647,240,Main shopping street,25/09/2003,197325,0,0,0,25,5,430,43,204,397,3,0,0.272672492,10.79529167
1721,2016,346679,280,Shopping center,09/10/2003,56790,0,1,1,22,5,329,28,120,354,2,1,0.063649222,4.778678571
1720,2016,217406,283,Specialist retail center,13/10/2003,15642,0,0,0,6,0,135,8,48,140,0,0,0.157749077,
1719,2016,536361,262,Main shopping street,15/10/2003,31518,1,0,4,6,2,67,9,44,154,3,0,0.394654788,12.40458015
1723,2016,282796,247,Pedestrian zone,20/10/2003,34928,3,0,0,11,5,94,16,42,149,6,1,0.122746554,6.51417004
1722,2016,519851,304,Main shopping street,27/10/2003,139056,2,0,8,57,9,877,33,432,729,12,2,0.174486804,9.539473684
1724,2016,478216,285,Main shopping street,30/10/2003,164805,0,0,5,24,6,240,30,69,183,5,1,0.125398512,9.438596491
1732,2016,541994,376,Main shopping street,05/11/2003,23448,0,0,0,9,0,168,12,63,194,2,0,0.181427343,7.978723404
1730,2016,597394,298,Specialist retail center,10/11/2003,11257,2,0,0,2,0,46,5,22,119,2,0,0.240898528,9.893959732
1727,2016,352177,280,Pedestrian zone,10/11/2003,28323,0,0,0,8,4,99,12,46,101,5,1,0.084621644,5.642857143
1726,2016,350175,246,Pedestrian zone,10/11/2003,43047,0,0,0,13,4,179,17,62,158,1,0,0.141055426,4.87804878
1728,2016,311942,249,Outskirts / residential,10/11/2003,21415,2,0,0,4,1,130,5,29,122,2,1,0.092059337,4.116465863
1731,2016,260307,262,Pedestrian zone,27/11/2003,15922,0,0,0,8,1,117,12,43,109,4,0,0.165786695,6.679389313
1736,2016,309904,371,Specialist retail center,08/03/2004,12865,0,0,0,7,0,75,8,38,110,0,0,0.18028169,4.043126685
1740,2016,202327,259,Main shopping street,09/03/2004,7058,0,0,0,6,3,70,6,30,67,5,2,0.234113712,
1741,2016,369122,249,Pedestrian zone,11/03/2004,14686,0,0,0,11,1,66,11,30,202,8,1,0.143209008,8.991967871
1750,2016,289322,327,Specialist retail center,13/04/2004,12550,0,2,2,2,0,33,4,10,59,0,0,0.289532294,4.740061162
1747,2016,414743,303,Pedestrian zone,26/04/2004,10568,0,0,0,5,1,38,5,15,46,5,1,0.164948454,5.775577558
1752,2016,360295,325,Outskirts / residential,29/04/2004,6684,0,0,0,5,1,29,7,11,37,4,0,0.161904762,9.358584615
1749,2016,314050,273,Pedestrian zone,06/05/2004,28757,0,0,0,10,3,81,10,40,86,5,1,0.117357407,7.326007326
1743,2016,356427,292,Shopping center,12/05/2004,230441,0,3,6,69,34,1170,58,622,635,2,2,0.078833333,8.506849315
1744,2016,233390,199,Pedestrian zone,17/05/2004,35594,0,0,0,16,7,133,10,53,165,3,0,0.289878988,6.418944724
1751,2016,396702,315,Pedestrian zone,24/05/2004,9054,0,0,0,5,0,64,9,29,67,4,0,0.12900641,6.177777778
1757,2016,371824,286,Main shopping street,24/05/2004,7559,1,0,0,4,3,46,4,48,112,0,0,0.244612069,10.48951049
1755,2016,294550,295,Specialist retail center,25/05/2004,13187,2,0,2,10,3,28,5,30,65,1,1,0.286367795,11.72881356
1753,2016,352855,349,Pedestrian zone,03/06/2004,13926,2,0,2,9,4,145,9,37,200,8,3,0.121633752,6.303724928
1759,2016,414887,396,Pedestrian zone,07/06/2004,48101,0,1,1,13,2,162,21,96,311,3,0,0.302291422,12.62626263
1756,2016,304802,321,Outskirts / residential,11/06/2004,17826,0,0,0,7,2,79,9,45,71,5,1,0.27678181,4.143302181
1760,2016,528876,353,Main shopping street,21/06/2004,144109,0,0,3,71,28,717,44,431,763,6,3,0.152559762,11.04815864
1758,2016,334318,259,Pedestrian zone,21/06/2004,196517,0,0,0,49,16,515,40,266,416,2,1,0.094829413,10.81081081
1762,2016,336820,304,Main shopping street,01/07/2004,6543,0,0,0,1,0,12,3,8,32,1,0,0.18206158,3.585526316
1764,2016,272039,274,Main shopping street,12/07/2004,7993,0,0,0,1,0,20,4,13,54,1,0,0.216612378,5.291970803
1765,2016,362583,306,Pedestrian zone,23/08/2004,81240,0,0,0,12,2,74,11,42,122,5,1,0.155790912,11.76470588
1767,2016,364423,275,Specialist retail center,06/09/2004,5823,0,0,0,5,2,31,4,13,26,2,1,0.176406926,7.636363636
1771,2016,315244,237,Outskirts / residential,06/09/2004,19348,0,0,2,13,8,156,16,83,219,9,4,0.123076923,10.23206751
1772,2016,337442,427.04,Specialist retail center,27/09/2004,22872,2,0,0,2,0,31,5,23,63,0,0,0.213274336,5.854252529
1774,2016,365035,277,Shopping center,11/10/2004,11764,0,0,0,2,0,35,8,13,96,2,0,0.098151689,6.407942238
1782,2016,569979,301,Main shopping street,18/10/2004,39127,2,0,2,34,19,338,20,98,274,12,6,0.294661191,18.93687708
1768,2016,442674,312,Main shopping street,18/10/2004,53592,0,0,0,11,2,158,10,82,131,2,0,0.152749491,5.448717949
1775,2016,322831,295,Main shopping street,18/10/2004,23772,0,0,0,6,3,78,5,31,55,3,1,0.281845537,8.813559322
1784,2016,642588,316,Main shopping street,21/10/2004,75217,2,9,11,27,5,147,24,114,227,7,0,0.295306091,18.73417722
1777,2016,349853,296,Outskirts / residential,21/10/2004,12912,3,0,0,4,1,21,5,36,44,2,0,0.16192026,5.368243243
1788,2016,357344,284,Main shopping street,25/10/2004,39791,2,0,0,14,7,178,10,68,122,7,2,0.249910362,9.154929577
