store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
592,2016,391576,360,Outskirts / residential,23/10/1989,11705,2,0,0,3,1,25,6,12,41,3,1,0.187543253,
708,2016,300842,244,Outskirts / residential,12/01/1990,275659,0,0,0,90,33,2159,79,898,829,6,1,0.091708201,
702,2016,349795,284,Main shopping street,22/01/1990,12938,0,0,0,4,0,72,5,31,78,4,0,0.201985112,
558,2016,313018,300,Main shopping street,29/01/1990,19980,2,0,0,10,1,193,10,80,120,6,0,0.224480578,
722,2016,259947,230,Specialist retail center,07/05/1990,23179,0,0,0,3,0,60,7,20,124,2,0,0.187875983,
715,2016,380350,305,Main shopping street,30/05/1990,10926,0,0,0,3,1,35,5,28,61,3,1,0.12319202,
751,2016,309021,300,Main shopping street,04/10/1990,4131,0,0,0,2,0,19,3,12,13,2,0,0.25,
760,2016,319439,205,Outskirts / residential,15/10/1990,38100,0,0,0,21,6,222,21,108,196,2,0,0.238112927,
761,2016,345291,237,Main shopping street,22/10/1990,60344,1,0,2,17,2,145,16,90,165,2,0,0.179890311,
753,2016,446899,189,Outskirts / residential,31/10/1990,13418,1,0,2,9,3,71,7,19,98,8,2,0.10531804,
782,2016,229932,340,Main shopping street,13/12/1990,7413,0,2,3,4,0,30,5,14,15,4,0,0.25567704,
787,2016,325350,155,Main shopping street,20/12/1990,25371,0,2,2,5,0,29,3,22,91,2,0,0.258706468,
758,2016,315731,227,Main shopping street,28/01/1991,12510,0,0,0,3,0,54,5,20,52,3,0,0.254931715,
792,2016,253603,233,Pedestrian zone,16/05/1991,15095,0,0,3,14,3,221,16,47,152,1,1,0.105546995,
842,2016,282723,230,Outskirts / residential,13/06/1991,47879,0,1,2,14,5,167,14,69,218,2,0,0.234278122,
844,2016,438044,341,Pedestrian zone,18/07/1991,18204,3,0,0,8,3,65,11,46,115,4,2,0.258426966,
801,2016,206645,182,Specialist retail center,28/08/1991,10759,0,0,1,2,0,13,2,9,17,2,0,0.141643059,
